url,career_cluster,career_pathway,SOC,job_title,title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,income,csm.Title,csm.O.NET.SOC.Code,csm.degree,csm.closeness,csm.betweenness,ccm.Title,ccm.O.NET.SOC.Code,ccm.degree,ccm.closeness,ccm.betweenness
https://www.onetonline.org/link/details/11-9199.02,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.02 - Compliance Managers,6,78,72,45,45,11,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.02,Business Management & Administration,General Management,11-9199.02,Compliance Managers,11-9199.02 - Compliance Managers,6,78,72,45,45,11,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.03,Business Management & Administration,General Management,11-9199.03,Investment Fund Managers,11-9199.03 - Investment Fund Managers,0,61,100,11,0,28,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.03,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.03 - Investment Fund Managers,0,61,100,11,0,28,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.04,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.04 - Supply Chain Managers,11,61,100,17,28,22,104970,Supply Chain Managers,11-9199.04,24,0.000285714,1101.108457,Supply Chain Managers,11-9199.04,13,0.00027894,290.6933014
https://www.onetonline.org/link/details/11-9199.04,Business Management & Administration,General Management,11-9199.04,Supply Chain Managers,11-9199.04 - Supply Chain Managers,11,61,100,17,28,22,104970,Supply Chain Managers,11-9199.04,24,0.000285714,1101.108457,Supply Chain Managers,11-9199.04,13,0.00027894,290.6933014
https://www.onetonline.org/link/details/11-9199.07,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.07 - Security Managers,6,67,100,33,39,6,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.07,Business Management & Administration,General Management,11-9199.07,Security Managers,11-9199.07 - Security Managers,6,67,100,33,39,6,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.08,Business Management & Administration,General Management,11-9199.08,Loss Prevention Managers,11-9199.08 - Loss Prevention Managers,0,83,100,17,45,28,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.08,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.08 - Loss Prevention Managers,0,83,100,17,45,28,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.09,Business Management & Administration,General Management,11-9199.09,Wind Energy Operations Managers,11-9199.09 - Wind Energy Operations Managers,11,78,95,33,50,6,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.09,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.09 - Wind Energy Operations Managers,11,78,95,33,50,6,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.10,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.10 - Wind Energy Project Managers,22,61,100,56,22,17,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.10,Business Management & Administration,General Management,11-9199.10,Wind Energy Project Managers,11-9199.10 - Wind Energy Project Managers,22,61,100,56,22,17,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.11,Business Management & Administration,General Management,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11 - Brownfield Redevelopment Specialists and Site Managers,17,61,95,72,33,11,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9199.11,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.11 - Brownfield Redevelopment Specialists and Site Managers,17,61,95,72,33,11,104970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/13-1011.00,"Arts, Audio/Video Technology & Communications",Performing Arts,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","13-1011.00 - Agents and Business Managers of Artists, Performers, and Athletes",33,61,100,6,6,56,62080,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,17,0.000261506,244.3678992,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,16,0.000275028,611.8815758
https://www.onetonline.org/link/details/13-1021.00,"Agriculture, Food & Natural Resources",Agribusiness Systems,13-1021.00,"Buyers and Purchasing Agents, Farm Products","13-1021.00 - Buyers and Purchasing Agents, Farm Products",11,83,89,6,50,28,58430,"Buyers and Purchasing Agents, Farm Products",13-1021.00,18,0.000317561,2451.874496,"Buyers and Purchasing Agents, Farm Products",13-1021.00,15,0.000323102,2674.649934
https://www.onetonline.org/link/details/13-1022.00,Marketing,Merchandising,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","13-1022.00 - Wholesale and Retail Buyers, Except Farm Products",6,78,100,17,39,22,53340,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,13,0.000308928,1496.26537,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,16,0.000318167,2715.745085
https://www.onetonline.org/link/details/13-1023.00,Manufacturing,Manufacturing Production Process Development,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","13-1023.00 - Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,95,89,28,45,17,63300,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,28,0.000319795,2518.848425,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,21,0.000298507,2322.677407
https://www.onetonline.org/link/details/13-1031.01,Finance,Insurance,13-1031.01,"Claims Examiners, Property and Casualty Insurance","13-1031.01 - Claims Examiners, Property and Casualty Insurance",6,95,72,39,28,28,63680,"Claims Examiners, Property and Casualty Insurance",13-1031.01,47,0.000328947,11150.32043,"Claims Examiners, Property and Casualty Insurance",13-1031.01,13,0.000270197,1256.190125
https://www.onetonline.org/link/details/13-1031.01,Finance,Insurance,13-1031.00,"Claims Adjusters, Examiners, and Investigators","13-1031.01 - Claims Examiners, Property and Casualty Insurance",6,95,72,39,28,28,63680,"Claims Examiners, Property and Casualty Insurance",13-1031.01,47,0.000328947,11150.32043,"Claims Examiners, Property and Casualty Insurance",13-1031.01,13,0.000270197,1256.190125
https://www.onetonline.org/link/details/13-1031.02,Finance,Insurance,13-1031.02,"Insurance Adjusters, Examiners, and Investigators","13-1031.02 - Insurance Adjusters, Examiners, and Investigators",6,95,72,28,28,28,63680,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,21,0.000318878,1945.372717,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,15,0.000290529,858.8925359
https://www.onetonline.org/link/details/13-1031.02,Finance,Insurance,13-1031.00,"Claims Adjusters, Examiners, and Investigators","13-1031.02 - Insurance Adjusters, Examiners, and Investigators",6,95,72,28,28,28,63680,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,21,0.000318878,1945.372717,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,15,0.000290529,858.8925359
https://www.onetonline.org/link/details/13-1032.00,Finance,Insurance,13-1032.00,"Insurance Appraisers, Auto Damage","13-1032.00 - Insurance Appraisers, Auto Damage",0,95,56,17,78,22,63510,"Insurance Appraisers, Auto Damage",13-1032.00,13,0.000328839,2512.161577,"Insurance Appraisers, Auto Damage",13-1032.00,10,0.000295508,1222.669899
https://www.onetonline.org/link/details/13-1041.01,Government & Public Administration,Governance,13-1041.00,Compliance Officers,13-1041.01 - Environmental Compliance Inspectors,17,83,17,83,67,17,66540,Environmental Compliance Inspectors,13-1041.01,13,0.000302572,433.3996437,Environmental Compliance Inspectors,13-1041.01,17,0.000302939,2307.028896
